gpu,input,slicing,m,residual,max_relative,throughput_in_tflops
NVIDIA_GB10,default,3,1024,2.401237e-05,2.757648e+01,2.825389e+00
NVIDIA_GB10,default,9,1024,2.275485e-16,5.395420e-12,4.661593e-01
NVIDIA_GB10,default,18,1024,2.275303e-16,1.286471e-15,1.538854e-01
NVIDIA_GB10,default,dgemm,1024,1.066552e-15,9.625805e-10,4.127604e-01
NVIDIA_GB10,default,3,2048,2.717785e-05,3.946706e+01,3.161896e+00
NVIDIA_GB10,default,9,2048,2.264892e-16,1.124345e-11,6.863338e-01
NVIDIA_GB10,default,18,2048,2.264581e-16,1.444908e-15,1.958356e-01
NVIDIA_GB10,default,dgemm,2048,1.509484e-15,3.738055e-09,4.070331e-01
NVIDIA_GB10,default,3,4096,3.309556e-05,1.279145e+03,6.910033e+00
NVIDIA_GB10,default,9,4096,2.281165e-16,7.438784e-11,1.235094e+00
NVIDIA_GB10,default,18,4096,2.280546e-16,1.577570e-15,3.430254e-01
NVIDIA_GB10,default,dgemm,4096,2.133609e-15,4.756615e-09,4.213282e-01
NVIDIA_GB10,errfree_sum,3,1024,2.401237e-05,2.757648e+01,3.143453e+00
NVIDIA_GB10,errfree_sum,9,1024,8.386355e-17,5.395420e-12,9.353548e-01
NVIDIA_GB10,errfree_sum,18,1024,8.368210e-17,3.921156e-16,2.765499e-01
NVIDIA_GB10,errfree_sum,dgemm,1024,1.066552e-15,9.625805e-10,4.121985e-01
NVIDIA_GB10,errfree_sum,3,2048,2.717785e-05,3.946706e+01,4.338436e+00
NVIDIA_GB10,errfree_sum,9,2048,8.363359e-17,1.124345e-11,1.261948e+00
NVIDIA_GB10,errfree_sum,18,2048,8.332933e-17,4.148421e-16,4.415641e-01
NVIDIA_GB10,errfree_sum,dgemm,2048,1.509484e-15,3.738055e-09,4.203408e-01
NVIDIA_GB10,errfree_sum,3,4096,3.309556e-05,1.279145e+03,8.414355e+00
NVIDIA_GB10,errfree_sum,9,4096,8.477402e-17,7.438784e-11,1.965901e+00
NVIDIA_GB10,errfree_sum,18,4096,8.414797e-17,4.255290e-16,6.243132e-01
NVIDIA_GB10,errfree_sum,dgemm,4096,2.133609e-15,4.756615e-09,4.127589e-01
NVIDIA_GB10,nearest_split,3,1024,4.604081e-06,1.275796e+00,2.248981e+00
NVIDIA_GB10,nearest_split,9,1024,2.156530e-16,2.082943e-12,4.956598e-01
NVIDIA_GB10,nearest_split,18,1024,2.156529e-16,1.356102e-15,1.493436e-01
NVIDIA_GB10,nearest_split,dgemm,1024,1.066552e-15,9.625805e-10,4.118785e-01
NVIDIA_GB10,nearest_split,3,2048,5.232231e-06,7.732214e+00,3.710746e+00
NVIDIA_GB10,nearest_split,9,2048,2.158648e-16,3.269759e-12,6.160139e-01
NVIDIA_GB10,nearest_split,18,2048,2.158647e-16,1.327810e-15,1.887345e-01
NVIDIA_GB10,nearest_split,dgemm,2048,1.509484e-15,3.738055e-09,4.209717e-01
NVIDIA_GB10,nearest_split,3,4096,6.389823e-06,5.962806e+01,6.471637e+00
NVIDIA_GB10,nearest_split,9,4096,2.184674e-16,1.238864e-11,1.173971e+00
NVIDIA_GB10,nearest_split,18,4096,2.184671e-16,1.454753e-15,3.298542e-01
NVIDIA_GB10,nearest_split,dgemm,4096,2.133609e-15,4.756615e-09,4.132229e-01
NVIDIA_GB10,nearest_split+errfree_sum,3,1024,4.604081e-06,1.275796e+00,3.148662e+00
NVIDIA_GB10,nearest_split+errfree_sum,9,1024,8.246913e-17,2.082943e-12,8.675468e-01
NVIDIA_GB10,nearest_split+errfree_sum,18,1024,8.246851e-17,3.268429e-16,3.011045e-01
NVIDIA_GB10,nearest_split+errfree_sum,dgemm,1024,1.066552e-15,9.625805e-10,4.090067e-01
NVIDIA_GB10,nearest_split+errfree_sum,3,2048,5.232231e-06,7.732214e+00,4.988070e+00
NVIDIA_GB10,nearest_split+errfree_sum,9,2048,8.192085e-17,3.269759e-12,1.230681e+00
NVIDIA_GB10,nearest_split+errfree_sum,18,2048,8.191978e-17,3.428932e-16,4.136923e-01
NVIDIA_GB10,nearest_split+errfree_sum,dgemm,2048,1.509484e-15,3.738055e-09,4.195962e-01
NVIDIA_GB10,nearest_split+errfree_sum,3,4096,6.389823e-06,5.962806e+01,8.529106e+00
NVIDIA_GB10,nearest_split+errfree_sum,9,4096,8.217455e-17,1.238864e-11,1.877248e+00
NVIDIA_GB10,nearest_split+errfree_sum,18,4096,8.217238e-17,3.460475e-16,5.922361e-01
NVIDIA_GB10,nearest_split+errfree_sum,dgemm,4096,2.133609e-15,4.756615e-09,4.177156e-01
NVIDIA_GB10,acc,3,1024,6.493602e-01,1.164036e+01,2.823375e+00
NVIDIA_GB10,acc,9,1024,6.493646e-01,7.491708e-01,4.324963e-01
NVIDIA_GB10,acc,18,1024,6.493646e-01,7.491708e-01,1.515414e-01
NVIDIA_GB10,acc,dgemm,1024,1.066552e-15,9.625805e-10,4.119899e-01
NVIDIA_GB10,acc,3,2048,6.674173e-01,1.550052e+01,3.265339e+00
NVIDIA_GB10,acc,9,2048,6.674214e-01,7.499566e-01,7.024832e-01
NVIDIA_GB10,acc,18,2048,6.674214e-01,7.499566e-01,1.982550e-01
NVIDIA_GB10,acc,dgemm,2048,1.509484e-15,3.738055e-09,4.209912e-01
NVIDIA_GB10,acc,3,4096,6.719418e-01,6.822051e+02,6.963915e+00
NVIDIA_GB10,acc,9,4096,6.719458e-01,7.499524e-01,1.240410e+00
NVIDIA_GB10,acc,18,4096,6.719458e-01,7.499524e-01,3.429321e-01
NVIDIA_GB10,acc,dgemm,4096,2.133609e-15,4.756615e-09,4.204560e-01
